"","Country","ISO2","ISO3","UN","2018_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2017_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2016_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2015_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2010_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2012_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2013_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2014_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2009_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2008_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2018_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2017_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2016_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2015_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2014_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2013_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2012_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2010_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2011_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2009_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2017_Percentage_%_Individuals using the Internet","2016_Percentage_%_Individuals using the Internet","2015_Percentage_%_Individuals using the Internet","2014_Percentage_%_Individuals using the Internet","2013_Percentage_%_Individuals using the Internet","2012_Percentage_%_Individuals using the Internet","2011_Percentage_%_Individuals using the Internet","2010_Percentage_%_Individuals using the Internet","2009_Percentage_%_Individuals using the Internet","2008_Percentage_%_Individuals using the Internet","2017_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2016_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2018_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2015_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2014_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2013_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2012_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2011_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2009_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2010_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2008_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2018_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2017_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2016_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2015_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2014_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2013_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2012_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2011_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2010_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2011_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2008_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2018_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2017_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2018_Percentage_%_Individuals using the Internet","2016_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2015_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2014_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2013_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2012_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2011_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2010_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2009_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2008_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2009_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2008_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions"
"28","Bhutan","BT","BTN","064",2.26607528221552,2.24085690947646,2.238200209581,3.82949843105144,1.26549409703532,2.38974544635616,2.88368530504606,3.47386500337248,0.497992844117036,0.306724259357696,2.91825956934628,2.86548554582242,2.86151365262764,2.99652688095225,3.31309844170474,3.72903692711025,3.84916353207969,3.83543179242104,3.96510591405139,3.88428521515561,48.1064158774574,41.7726445321672,39.8,30.3,22.4,15.6,14.4,13.6,7.17,6.55,97.9961451949735,94.7964458102803,93.2615577130071,92.8382032104369,86.8551084409398,76.6415999166475,79.9465778007101,69.8385110010414,49.9670510951272,57.5221406762625,37.7343797693017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90870303967414,4.09089758536538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Bolivia (Plurinational State of)","BO","BOL","68",4.44015410007203,3.39498724856169,2.60690580896306,1.66472396278472,0.954840430348935,1.12460631840886,1.46170071512335,1.61381147575818,0.972545572835655,0.815865610226618,6.27104813803967,7.60404740345515,7.86222465317127,8.10723909425533,8.1829693073854,8.2939644446409,8.48331553230222,8.47087004246367,8.60165433037298,8.13591115473373,43.8322760674661,39.6975146032685,35.56227065,34.6,36.99,35.34,30,22.4,16.8,12.5,97.9484144125873,91.6097388879109,100.816408356383,93.4966093914016,97.6072890931757,98.893295126896,91.4771958577238,81.7909588156375,65.3974023299049,71.4457749793752,51.8296954344484,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.720085491425889,8.11578185732299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Bosnia and Herzegovina","BA","BIH","070",20.865512910189,19.8092808497624,19.5633774783198,18.5161900424015,10.5493173339321,13.0208223531278,14.5684843304618,15.5769283235284,7.81900020824757,5.0198826882769,19.630466993088,22.6566712168341,22.0003685475388,22.5314278665909,24.3442974867214,23.8943873521357,24.5858497652686,26.9497381170334,26.110114922122,26.7307433902811,64.89197728,60.25653543,52.6,49.9177324336354,48.5213141734421,45.0645004334763,43.8876865285545,42.75,37.74,34.66,102.642379215432,100.524973525411,104.125634603669,100.412875751488,100.260847964091,98.4675970175628,93.1363960663217,86.6192684042691,87.1866449603821,83.9362164927977,84.6778509063411,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7516097974011,27.4715117795173,NA,NA,70.1201350394885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Botswana","BW","BWA","072",1.77652138267346,1.47087634008743,2.73421277663551,1.7373849209418,0.602786465737845,1.09023728693892,1.04676351774601,1.59387690807989,0.511902238958013,0.464596930841354,6.3210604116646,6.40371324396394,6.57994459997954,7.56772712612156,8.10277417890682,8.44416711756527,7.86877143848955,6.91568890420989,7.42174145815998,7.0346629482088,47,39.36299738,37.3120503733278,36.74474744423,30,16,9,6,6.15,6.25,146.960155640612,152.273016634358,150.005589893473,163.875172347452,163.290127730394,157.416312250672,151.097886010485,143.904866669346,95.9356497933451,118.937398879274,77.5611166822141,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.948941725302582,7.42739106898534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Brazil","BR","BRA","076",14.8842334302097,13.909125368877,12.9815670706041,12.4625898844745,7.20485826140831,9.59401130726349,10.6252832081066,11.8208275889014,6.0499284457689,5.21631782374081,18.2877523311612,19.4279864639742,20.3741394923949,21.3609640165044,21.7633528645869,22.403020710051,22.231870381263,21.5321829774405,21.7836296362512,21.4027259699783,67.47128452,60.87254007,58.3279517340924,54.5510018796392,51.04,48.56,45.69,40.65,39.22,33.83,105.014206951291,118.385594532304,98.8434998665652,126.087955936841,138.451183325239,134.851428435333,124.605885194922,118.653295978176,87.3632651117735,100.621491190432,78.4466588674139,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.02872839698239,21.473295457309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","British Virgin Islands","VG","VGB","092",15.8210858331656,16.915170571728,21.1820814171351,22.8457738748628,24.7499460315176,25.9511343804537,21.4303047110618,22.0531925902929,28.4404009024002,NA,20.8777934366821,32.2683165973561,38.0412195537387,40.319703622393,40.8741246679775,41.8761049675876,42.8202443280977,45.8983953371231,44.1894134679897,50.1756721772255,77.7042682926829,77.7014296797074,NA,NA,NA,37.6,37.4,37,36,NA,204.503499340704,NA,198.379303402456,196.195801317234,188.913035979165,185.135369362499,169.993019197208,164.54323952117,173.937645622989,170.986543858387,88.1327355634747,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7812775874854,54.531172165383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Brunei Darussalam","BN","BRN","096",11.929700230556,9.70827355332377,8.6031443544545,8.29704005957962,5.58322998306943,4.97482386732466,6.81393893986712,7.38440438393339,5.21716253457878,4.45178311163589,18.2584511950914,16.9622096105053,17.6781800857551,18.3178399014719,17.4839970812824,NA,17.7781843609724,20.558811875074,20.279764686757,20.9814381645507,94.8666916411293,90,71.2,68.77,64.5,60.2730650423193,56,53,49,46,128.331366188191,124.691043353978,131.934222765134,111.683823121808,110.319228638574,115.922269120545,117.73256906832,112.566550161549,107.547680942731,111.953808864622,105.122541978436,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.88918128060799,21.2919158401881,NA,NA,94.6000474721101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Bulgaria","BG","BGR","100",26.6070518951139,25.2970526765153,23.7360340595079,22.4249872321796,15.1477681909568,18.1585145247418,19.499792046406,20.4383294464013,13.3542953628367,11.2113536167245,15.8884611850233,18.1606922912733,20.6793165447256,22.9852573863421,25.0767702424325,26.6447263736734,29.0824124287923,29.1482244867615,30.8028433385511,29.5094689739618,63.41010138,59.82554766,56.6563,55.49,53.0615,51.8999876658503,47.9799930506026,46.23,45,39.67,120.140447429082,125.474384409405,118.117059257974,127.707830045553,130.932797434487,143.850444603687,146.996558359739,141.964763201941,139.891668081664,137.37280821785,138.608338792467,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.0328718668049,29.1035045182226,NA,NA,64.78201069118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Burkina Faso","BF","BFA","854",0.0699593640289789,0.0644029036482335,0.0664151179772006,0.0516492419035368,0.0878231939998015,0.0864629850259362,0.0759220010092085,0.0307516818747608,0.0789044493338594,0.0698855832903611,0.388629380725461,0.395972872523724,0.406122225376249,0.414535689107123,0.708488499109805,0.804912613847126,0.853031451514258,0.922531227857966,0.880050775053938,1.00693489996564,16,13.96,14,9.4,9.1,3.72503491597675,3,2.4,1.13,0.92,93.5036534228677,82.6115256722801,97.9122714232959,79.7702884229721,71.0472517105907,65.8409626783211,60.2012714427811,47.7685708161709,25.2532874432224,36.5765500088849,20.5868387597453,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0874460644078848,1.00857572214592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Burundi","BI","BDI","108",0.0352113495261993,0.0361503013895145,0.0376144344081018,0.0358168233755215,0.00405735532819509,0.00759248227447407,0.016079174104857,0.0172688781598365,0.00190529084979306,0.00196896371716722,0.222005992819569,0.21620909688992,0.186308250528342,0.214310390815775,0.220117247556174,0.222770982562272,0.188124838578635,0.403107473118292,0.334992631501631,0.370590978352562,2.6607485347534,5.17362677652886,4.86622446359511,1.38,1.2642181112,1.21999994477793,1.11,1,0.9,0.81,54.6836760884967,51.0852264899058,56.5347074737722,49.1897760144409,32.4376270976735,26.5907088159051,24.3037953326351,21.3719494293963,10.9643415291007,19.3419315454997,5.91407786906933,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00554786197455217,0.374238472517328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
