"","Country","ISO2","ISO3","UN","2018_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2017_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2016_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2015_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2010_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2012_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2013_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2014_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2009_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2008_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2018_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2017_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2016_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2015_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2014_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2013_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2012_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2010_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2011_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2009_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2017_Percentage_%_Individuals using the Internet","2016_Percentage_%_Individuals using the Internet","2015_Percentage_%_Individuals using the Internet","2014_Percentage_%_Individuals using the Internet","2013_Percentage_%_Individuals using the Internet","2012_Percentage_%_Individuals using the Internet","2011_Percentage_%_Individuals using the Internet","2010_Percentage_%_Individuals using the Internet","2009_Percentage_%_Individuals using the Internet","2008_Percentage_%_Individuals using the Internet","2017_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2016_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2018_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2015_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2014_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2013_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2012_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2011_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2009_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2010_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2008_Per 100 inhabitants_Per 100 inhabitants_Mobile-cellular telephone subscriptions","2018_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2017_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2016_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2015_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2014_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2013_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2012_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2011_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2010_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2011_Per 100 inhabitants_Per 100 inhabitants_Fixed-broadband subscriptions","2008_Per 100 inhabitants_Per 100 inhabitants_Fixed-telephone subscriptions","2018_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2017_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2018_Percentage_%_Individuals using the Internet","2016_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2015_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2014_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2013_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2012_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2011_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2010_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2009_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2008_Per 100 inhabitants_Per 100 inhabitants_Individuals using the Internet","2009_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions","2008_Per 100 inhabitants_Per 100 inhabitants_Active mobile-broadband subscriptions"
"38","Cambodia","KH","KHM","116",1.02278232238296,0.8347153851838,0.619302243038503,0.537991459037682,0.249199774290655,0.201171087166876,0.217271919720661,0.43281931988229,0.212862515507034,0.119520299652099,0.542511559532577,0.830205537256247,1.44143594448206,1.65182525637447,2.3637823109531,2.80136230185783,3.95437785605232,2.50729936085351,3.64476021363246,0.384571611349375,32.44694856,32.39845171,6.43319107021405,14,6.8,4.94,3.1,1.26,0.53,0.51,116.012858438435,126.316974213087,119.491517183728,134.333852872891,133.89621907829,134.860017734202,129.2593245106,94.6055967149845,44.474074906603,56.9497153899062,30.5175069076741,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151291933396064,0.310432982704921,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Cameroon","CM","CMR","120",0.0744360773146953,0.171443763111833,0.192146373290492,0.087761511879287,0.0292705838350767,0.0644441667347366,0.0765492365142214,0.0742046989813707,0.00454777000350532,0.00446691382897309,2.41110629103031,3.60563122970448,4.39291479996427,4.50795952746561,5.09759961399977,3.61917542974243,3.4323290869347,2.65226688971435,3.19981146432373,2.2001757561514,23.20297197,23.2029719748646,20.6801476606263,16.2148722257524,10,7.5,5,4.3,3.84,3.4,81.9642113739546,78.2290059273482,69.0854042749468,77.9482365460104,75.1219918020804,70.9537409793066,61.0095244345369,50.1598554470528,40.4454409338411,42.4588253981161,32.0002071401436,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0512427110795035,1.32608128141838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Canada","CA","CAN","124",38.569013977832,37.9063731594944,36.7933282144513,36.4046241734874,31.677524639825,33.4743255188773,34.2652994084857,35.2396849547491,30.492418781635,29.5230963873325,37.4920140661405,39.3906201102877,41.6555625625018,43.3353079812304,45.9944061206017,47.9395593810247,50.758790368143,53.8662142927677,52.9080629901846,55.4375287236955,91,91.16,90,87.12,85.8,83,83,80.3,80.3,76.7,86.2814930648524,84.5231216033535,89.2309934774145,82.6193346285958,80.7220950160941,80.3478461110963,79.3768288956856,77.7088984708632,70.5619462377467,75.62882084356,66.2689420288264,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6660501490497,54.7429304979555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Cape Verde","CV","CPV","132",2.87935825454652,2.78940572802131,2.9259375011767,3.157355124318,3.26212717241715,3.92945856878482,4.14305478477688,3.68069986551437,2.25450047362592,1.53480769150781,11.5269959375983,12.0874868371603,12.1857267116763,12.1171697383291,11.5038271483452,12.9315600647194,13.8984828842024,14.6088329740548,14.9347408175088,14.768498636656,57.16214635,50.32281787,42.68,40.26,37.5,34.74,32,30,21,14,113.909075010512,113.331551023636,112.24072074988,116.527138046625,118.350824182715,97.5984273509618,84.1806288162934,79.4674626195483,59.7161121168099,75.4831991620894,57.7466194716768,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.27617533681997,14.9446179826222,NA,NA,58.1713720146819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Cayman Islands","KY","CYM","136",NA,49.2758196333344,39.2127091690773,44.3636186896507,33.2651044607566,32.7775704738967,33.9301208035774,38.5698790428609,33.0700263909475,32.5618545211383,NA,54.8546906061658,54.5254039540347,54.3289482211133,54.0740862476992,61.264433024094,63.4214186369958,65.9073263692829,64.3232316251425,65.3465167564441,81.0676932508161,79,77,74.1,71.4,69.7,69.46594499,66,64.5,61,152.497554510744,152.880819575189,NA,151.066035901756,149.64994740994,163.578722552226,167.634587333356,167.208611216697,196.484219659448,177.456239412761,182.615721821829,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5097619129894,66.435099190133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Central African Rep.","CF","CAF","140",0.0130294053105113,0.0134681658468637,0.0162197208004256,0.04135165150662,NA,0.0136371341190727,NA,NA,NA,NA,0.0469958648782094,0.04577870911438,0.0432819723533096,0.0418635395500282,0.0179204444270218,0.0179858379511972,0.0185510105454493,0.0211773223475689,0.0184446018082047,0.0820956168410132,4.33925494461827,4,3.8,3.6,3.4,3,2.2,2,1.8,1,25.5740452125675,27.5106298672936,27.6742854399824,27.6529488089701,25.8865299859437,30.582669206267,25.7666098039499,22.4604103029962,19.9104579118757,22.3224022788531,13.3384315782921,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0183314447418967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Chad","TD","TCD","148",0.00125341385677447,0.00132518660991494,0.0719011431389004,0.0803417198315496,0.0027693794648923,0.152165666125658,0.111108312413065,0.0741460904130005,0.00256917148198894,NA,0.0583806577825468,0.0576955617502665,0.0915554957333161,0.120679116786756,0.172575739012788,0.236928699687824,0.21851815639727,0.428601214042411,0.257576456254717,0.504033382966497,6.49999811951501,5,3.5,2.9,2.5,2.10000000005453,1.9,1.7,1.5,1.19,42.4099670547954,38.3590126400424,45.1237387603827,38.734368107094,38.4347687858353,34.501464513303,34.4338528324762,29.6550761710834,19.734351128926,24.0568213079235,14.3066786795079,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127813387115433,0.402375337861159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Chile","CL","CHL","152",17.3665183062134,16.5909808640715,15.951283173856,15.1337613546798,10.48704014456,12.4499241308234,13.0618790977917,14.019498552815,9.79899190971839,8.5417522281497,16.0028105905444,17.3263071873928,18.5349244673039,19.1764277767819,19.3015198694923,19.0491970893561,18.9220479338717,20.2746356110252,19.5554538419652,21.0545531122303,82.32748693,83.55858602,76.63,61.11,58,55.05,52.2496072877744,45,41.56,37.3,124.594477694872,127.972518966924,134.437321268012,129.14406545411,133.345192136544,134.657425797343,137.589054976892,129.487043199856,97.4182269459782,116.349890778252,88.5585618799997,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6704971736568,21.0960951165585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","China","CN","CHN","156",28.5351894210131,27.7398983250356,22.81370164145,19.6926765080861,9.22969172035534,12.6558438014332,13.5721863986977,14.3258017065249,7.6388727625389,6.12299560382229,12.7656136049231,13.6350477682435,14.6122198531386,16.4194014808438,17.8233801352658,19.1815645927737,20.0947633097963,21.5064813768996,20.7130758471283,23.0487105881711,54.3,53.2,50.3,47.9,45.8,42.3001174855995,38.3,34.3,28.9,22.6,103.438420811662,96.5266169129623,114.954613882615,91.8353880011205,91.8996288670346,88.305749017053,80.3460379316654,71.6494509003658,54.8950034852348,62.7554309257019,47.37436885065,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3684902586309,25.1452920609726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","CIS","11","101","901",18.5486094584372,17.8313577655747,16.0862127100947,15.4242329332475,8.29344208170281,11.6769926799545,13.2967932500324,14.1003753509418,6.50691678102439,4.51675186326126,19.583168518189,19.7808265373677,20.4442271420338,21.837391817917,23.0420724661789,23.901720295204,24.6925362658447,25.731979162994,25.5028055191854,25.8208299436598,68.6,66.3834152508609,63.3193981779489,62.2913744228533,59.1663791953825,54.3252737228498,42.9127566344396,36.469676476897,24.3284418656233,21.3605895070385,138.289169583608,138.519572522731,139.028911288853,137.680272886792,136.1829784307,135.174834590766,130.318965668304,128.550310305953,128.690038329834,137.332803756787,110.404834785022,77.901085585019,71.9520379120611,65.3102607685191,60.5331168474906,53.7416569226016,48.5752360961253,41.5250403063788,36.3026860790955,25.6974439069695,9.70201206311953,25.6365776227962,69.9197129640658,66.1438022242116,71.3,63.6410096744588,60.6071301306616,59.8714312380551,57.1398918306956,53.2553511623302,41.9739543376648,35.6060713548042,24.3341559679689,21.3604056587938,NA,NA
"48","Colombia","CO","COL","170",13.4482522398641,12.9442912294191,12.2739213649422,11.6281259267678,5.84448296983595,8.54822707266331,9.75927064586669,10.7064970783323,4.72576412980418,4.00426844665487,14.0423395817181,14.2868063826585,14.771097704264,14.9603413605285,15.2890978514254,15.3594693575999,15.3359086015762,15.8906146691816,15.6073173695109,16.701358617355,62.25988032,58.13649357,55.9049725142924,52.57,51.7,48.98,40.3509157546318,36.5,30,25.6,127.213696205379,121.816005512563,129.908609661238,120.636922036469,117.80495257847,108.172020027834,106.490709488238,101.177487171819,94.2113120131654,98.3524933274661,93.4691591171388,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.33232699880436,17.9165031728071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Comoros","KM","COM","174",0.183943233508186,0.201992401940307,0.20538165290752,0.20580789890716,0.0477024526890264,0.170334217008279,0.175319114503611,0.208456787684852,0.00980316434262356,0.0167369364407231,1.23990474840266,2.11477689914632,1.64016229424127,1.87786844759102,3.09458907807582,3.10179971814081,3.31550787364047,3.07528577973936,3.27583010293404,4.57287910024775,8.47817029542124,7.938322770803,7.459161385649,6.98,6.5,5.97529630842855,5.5,5.1,3.5,3,57.6137865957646,57.113319389838,59.9411045244509,54.6401963407356,50.4352177405549,46.8641479153883,39.1659563651535,30.6322524764036,18.2095262992163,23.9640303207809,13.9587571455307,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05661159773497,4.38340365382538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Congo (Dem. Rep.)","CD","COD","180",0.00549554527174883,0.0012285198826852,0.00126921066151679,0.00131156925799176,0,NA,0.00063061592383404,0.000677805753532449,NA,NA,0,0,0,0,0,0,0.0862552240995016,0.0650363901758405,0.0853417263533199,0.0677677603975393,8.61990491569355,6.20997406030119,3.799999507273,3,2.2,1.679961014645,1.2,0.72,0.56,0.44,43.45919306588,36.6666291403381,43.3822150190136,49.5153882748646,50.2971968109456,39.5633015557561,29.1110700381148,23.436208737324,15.1461536976008,18.3079962977427,16.4499675929271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061776629315146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Congo (Rep.)","CG","COG","178",NA,NA,NA,NA,0.00584968965056528,0.0308633831899657,0.00947485507581831,0.0105552571936189,0.00301539710005642,NA,NA,0.332635776543112,0.341297202406908,0.350075523646057,0.344101384511976,0.339169526789396,0.331071866230293,0.313543365270299,0.323105894088618,0.279828850885236,8.65,8.121949323466,7.61597466209,7.11,6.6,6.10669502435836,5.6,5,4.5,4.28750990276481,98.9297933059985,108.893883873828,NA,107.411407725755,104.076946980521,100.800387300925,94.9655214769903,88.3935129438042,71.122458653478,87.0140867546413,45.0456514119705,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0298304103626886,0.225602183330566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Costa Rica","CR","CRI","188",16.6228984400456,15.0312709976699,13.0443355183193,11.5238982434108,8.6569647514363,9.56898464163823,10.2250539686262,10.7673485151174,4.04035622486584,2.46327405125333,15.4832310252286,16.4629812721492,17.3457064158576,17.7299659804728,18.3763134473149,20.4225463491229,21.2263011945393,23.1657512226432,22.2685052684107,33.1715825285241,71.3907708962224,65.8804491942718,59.7629501371681,53,45.96,47.5,39.2121959961842,36.5,34.33,32.29,178.594427342153,170.036280359926,169.930698252065,155.443557536567,146.399004378366,149.975127090131,114.720179180887,89.6393246315739,43.1415653189522,68.3441918058766,42.2701582411427,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.06052682812277,32.213594734631,NA,NA,74.0868022255159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Cote d'Ivoire","CI","CIV","384",0.701728772682687,0.584450845361652,0.57247885358486,0.47234273895584,NA,0.214259976754275,0.254809235122266,0.560132329645716,0.0498525685065272,0.0510059157171108,1.20625164793653,1.25038312067493,1.21358129052802,1.19368936977612,1.07156210763096,1.23212201795187,1.28153613362449,1.37994296971453,1.31484395934975,1.40619139986361,43.83992085,41.20781493,38.44,19.2742298,12,5,2.9,2.7,2,1.9,129.912110378038,115.231413179875,134.857951361091,109.392291264202,97.6019225630312,87.7912778193498,83.9995084277354,82.4790838976625,65.7271617781155,75.9707884156928,53.2962649541056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81837109649814,NA,NA,46.8237270826283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Croatia","HR","HRV","191",26.955024835164,26.1993417417808,24.8014661400627,23.2989453501333,19.3583654966943,21.3977678137042,22.3242867344558,23.134349051301,16.5240814656745,12.1303274613361,32.6162152148311,33.5023167179753,34.1200474646925,34.8818793094243,36.8693825795815,39.0091610200444,40.5863481225491,43.1066976420723,42.8469413755631,42.8260064349922,67.09619204,72.69726967,69.8031,68.57,66.7476,61.9399731527956,57.7899789891444,56.55,50.58,44.24,103.173022649352,104.888677998062,105.583454932809,104.318248074476,104.837020786218,110.391834818236,115.723747275877,118.595469290179,107.687922227259,113.867008304905,104.644105319168,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7005450141534,43.1481061131691,NA,NA,72.6887708791752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Cuba","CU","CUB","192",0.871730745112026,0.295751378353461,0.127285995787952,0.0720278829232989,0.0330131432574441,0.0445318796024271,0.0475062624510058,0.0689224919571264,0.0256798319079973,0.0199875927418519,12.740015244131,11.8983841441421,11.6629013725856,11.4426671915333,11.1862363030587,10.9661116381214,10.8067048150217,10.3656014093209,10.6207167585489,9.97430324416532,57.14840432,42.97867519,37.3050974155373,29.0701843656523,27.93,21.2,16.0172907996413,15.9,14.33,12.94,40.6885849809873,35.1818562935108,47.3915372670671,29.4517483384447,22.3823603702658,17.6880882389827,14.9385223766255,11.7040091322421,5.53284136963023,8.93488340106996,2.95218346652314,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0393443930146215,9.68311656228355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Curacao","CW","CUW","531",NA,30.4622925115897,26.521247795743,25.0239291322327,NA,22.9832641118223,23.5978417541488,24.4050700029036,NA,NA,NA,38.0926807286555,36.777562526389,39.1443067433233,38.5868124376665,40.636121280151,41.2538674693348,52.848678213309,44.6902800118176,57.1518982987886,68.12721625,61.855510740634,NA,NA,NA,NA,NA,NA,NA,NA,115.547818786768,115.890519832104,NA,119.169580911747,121.55445582053,129.789405206832,132.221913614138,135.439057216952,138.337449352329,136.752640892273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8777861668253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Cyprus","CY","CYP","196",26.3576242469088,34.7947752412332,32.7704165686044,30.9144822678211,23.4934154887036,25.5330478064591,26.5918319990718,28.5526254102203,21.8094412092677,18.7445589919817,26.1976094478522,37.331254412803,37.7233466698047,38.3948523306844,38.4287388654477,40.5044668755076,43.1989813635837,49.9205025975595,47.7060070671378,51.3581960104076,80.74318897,75.9002054,71.7159,69.33,65.4548,60.6898684001903,56.8598923503507,52.99,49.81,42.31,138.479759943516,133.417274652859,100.934442702005,131.790179100937,130.192451945617,127.581041884209,128.595323532816,128.497526501767,121.115227357205,124.933067536547,129.405498281787,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9881036513545,52.6057019218531,NA,NA,84.4335825186889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Czech Republic","CZ","CZE","203",29.9444845367059,29.5656512327655,28.9105503539599,27.7946953594889,21.4604008648778,25.1101637578697,26.9792575151846,28.2767204337828,19.4134240006941,16.8780921273376,14.0141502503779,15.4129194587669,16.5610102857586,17.9843656453956,18.9017050907233,18.9013721489368,20.01078696148,22.4685232825493,20.8573932167052,24.092483377677,78.71916143,76.4811987,75.668838699279,74.2317116367383,74.1104,73.4300078241036,70.49,68.82,64.43,62.97,118.751232258068,117.574283183209,119.173888352329,117.480507616119,131.365858982837,129.592001460724,127.790620673674,124.617222496306,124.546376364575,122.754974651018,132.18046426825,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7457622033826,23.7684774661865,NA,NA,80.6881675434288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Dem. People's Rep. of Korea","KP","PRK","408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6402206857499,4.66261901285638,4.68554568321669,4.70911441112724,4.73334861108509,4.75794077129849,4.80674521594425,4.78247926562194,4.83045492119174,NA,NA,NA,NA,NA,0,0,0,0,0,14.9824074683959,14.2486475935255,NA,12.8653966217136,11.1741697891155,9.70737596510672,6.85466043322664,4.05294853018808,0.283527235844628,1.7594276160385,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.85394120692508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Denmark","DK","DNK","208",44.0593269340762,43.8218235904285,43.0967009720471,42.276163513776,38.0281786491214,38.8448169572705,40.304053904254,41.3431844519505,36.6009227003243,36.4819910184733,19.6634077023,21.5300594493564,27.2632787805473,29.8310069356856,33.0568363100429,37.1496830961247,40.9792862218434,47.0536886364406,44.4470495853647,50.2011983233895,97.09936216,96.96778525,96.3305,95.99,94.6297,92.2600117153012,89.8100133895232,88.72,86.84,85.02,124.434491442663,122.300966023964,125.118956017306,124.44416513805,126.412168646706,124.70683176825,129.974729557791,128.483132120528,123.655505187113,115.589024642276,119.267210151683,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3889565747886,54.1141442220961,NA,NA,97.6442681280929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Developed","12","102","902",32.5077871584845,31.6307834605905,30.5816487604569,29.6254832852973,23.460851631571,26.2925313910024,27.4316650223818,28.2624873491026,21.9509123102636,20.3782496008262,36.3088356725622,37.5008536093356,38.2717371798721,39.1907083529796,40.1653257469622,41.2608505809798,42.2181668755512,44.6277505308241,43.4450190461801,45.5221996919052,79.5,79.0507631026459,76.2345048888555,75.6492252901915,73.7748948442889,71.9751031998532,67.6571751420136,66.5114729107037,62.9034678904268,61.2717385799326,126.985908176659,126.815751832125,126.822256997267,125.175347661851,122.032258810478,118.216708182748,115.720323215546,113.128638565901,112.055133965046,113.289265172577,107.830876882964,115.14124879991,103.636289165913,97.9154485984507,90.9571036732152,81.130725679968,74.1342153679445,66.4582093536276,57.2999202183796,44.7387748794442,25.1532320547485,44.2655402424473,84.8967132459713,81.922352720696,80.9,81.0481369305011,76.7663238399347,75.7589468504969,73.8106080813285,71.9892217562187,67.6399993217884,66.5437552643657,62.9184038925103,61.2668150132415,36.6250074813699,27.4589014551782
"62","Developing","13","103","903",10.3475429532656,9.66500929614801,8.59041671017627,7.6556044151746,4.15559020772056,5.50748654746969,5.91484784584034,6.30100197250156,3.52587942093199,2.9089118831159,7.69575711535048,8.09297824658396,8.51443688118204,9.08232029858704,9.897119846264,10.6031515740164,11.2019136660754,11.9230149475747,11.5037677668179,12.3651550864093,42.3,39.1121256850129,36.2109610836141,32.4378060250587,29.0401407794899,26.2635712595125,23.3943461320938,20.611790864809,17.1682080194935,14.4934943689392,98.9579665273849,95.4574746475521,99.4180141746573,91.7173118995327,91.3841627757293,87.754042535814,82.6604280209434,77.9692616453939,58.2228325469976,68.53875173851,49.0140763472903,61.0109883321732,53.6372615063482,42.9392056905406,35.7214473349618,27.4893401427829,17.4765985332697,12.368146822856,8.19421763474982,4.45594520277886,4.96112622895281,12.7825635084242,44.7279172103823,42.4166706338465,45.3,37.4298312489508,34.1922466102487,31.4839464124968,29.257754507816,26.7986258774567,24.0867175303224,21.0970658534713,17.5870383773013,14.624421529593,2.95478633019228,1.56048916030238
"63","Djibouti","DJ","DJI","262",2.66006759666835,2.58330958935451,2.61270977018917,2.64389333397521,0.959059650225304,1.71712529243656,2.00443114572401,2.23679891398083,0.638421498315461,0.300235925905056,3.84337428552658,3.87480550238905,2.68266904312935,2.50570846822678,2.43820205965316,2.34191825362592,2.29860033612206,2.1987674333907,2.16030943896616,2.0344928807245,55.68140925,13.1349151074,11.9224314345,10.71,9.5,8.26723289204519,7,6.5,4,2.26,39.5140763839386,37.1587063777026,41.1959041549739,34.3930423974801,31.9406472718776,27.6378279913913,24.4740173497962,22.6139017938932,15.5559823778755,19.7111871249396,13.8233471099689,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32392458948029,1.82640459210297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Dominica","DM","DMA","212",16.0753926701571,21.583307677237,21.7187653386063,21.2958150120113,11.7257823302012,11.9777355034172,15.0205587473245,15.1719772103819,10.3033125855669,9.88323661880356,3.71378708551483,18.1379271740043,18.6910121025986,28.9184215332312,23.1399029331083,24.1410386391799,22.8802931022335,21.8459888823048,21.1405042585594,23.2883092687471,69.6196687942039,67.03,65,57.5,51,49.8,48.6,47.45,42.02,41.16,105.278625206415,110.008835037233,105.788481675393,108.528721745361,103.940353098403,131.766080883181,154.019587120411,153.595803485814,139.024149271005,148.941843731482,128.482076044446,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.71385864967,24.7080915470089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Dominican Rep.","DO","DOM","214",7.47885061466673,7.4807402266733,7.37999725132603,6.67310206114176,4.02785070965076,4.86989316997546,5.24176790504041,5.90246137231371,3.29541262331836,2.5281888756433,12.0186511122794,12.6494706035439,12.9363772380943,12.6921670388497,12.0618487635687,11.6542790811359,11.3680047238341,10.4476468112157,11.2072388945881,10.0809179577553,67.57123468,63.87086474,54.2157663369785,49.58,45.9,42.32,38,31.4,27.72,20.82,83.4113978136238,83.7502203603648,84.1020835236871,85.5623497327285,81.6860453963298,91.5624758664012,89.9634635918781,89.3772690712551,90.1122689283417,91.7243116408759,76.2362637217404,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.319880618077,10.4218987478953,NA,NA,74.8242898588721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Ecuador","EC","ECU","218",11.4393353265016,10.0312587855572,8.86183809512952,9.1758584062936,1.47437395897987,5.45236198212743,6.73853096939712,8.27256918324156,1.63277431323211,1.07320308929598,13.8172063591737,14.3887521990144,14.8663256022212,15.4987287210354,15.306635472773,15.2460605696371,14.9195872509815,13.894095955684,14.5016060211426,13.6264060108198,57.2722436831024,54.06292473,48.9404337892669,45.5903906666095,40.279121941,35.1351464545516,31.3668083587433,29.03,24.6,18.8,87.2867971085043,84.1803550469234,92.3232702100951,79.840704612997,104.099194826428,105.84896718594,106.350217049766,100.582732064873,89.6262216381498,98.4652241402155,80.3844854396464,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32254010854452,13.1157968645419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
